id,titulo,descripcion,fecha_estreno,tipo,genero,seccion,trailer
1,Oppenheimer,"El físico J Robert Oppenheimer trabaja con un equipo de científicos durante el Proyecto Manhattan, que condujo al desarrollo de la bomba atómica.",20/07/2023,Pelicula,Accion,Popular,
2,Sonido de libertad,"Un ex agente federal se embarca en una peligrosa misión para salvar a una niña de unos despiadados traficantes de menores. Se le acaba el tiempo y se adentra en la selva colombiana, arriesgando su vida para liberarla de un destino peor que la muerte.",31/08/2023,Pelicula,Terror,Tendencia,
3,The Mandalorian,"Las aventuras de Mando, un pistolero solitario y cazarrecompensas que se abre paso a través de las fronteras más remotas de la galaxia, lejos de la jurisdicción de la Nueva República.",12/11/2019,Serie,Accion,Tendencia,
4,Star Wars: Ahsoka,La antigua caballero Jedi Ahsoka Tano investiga una amenaza emergente para una galaxia vulnerable.,22/08/2023,Serie,Accion,Tendencia,
5,Top Gun: Maverick,"Maverick, quien lleva 30 años de servicio, es ahora instructor de pilotos militares. Una última misión, un sacrificio final, obliga a este maestro de los cielos a enfrentar las heridas abiertas del pasado y sus temores más profundos.",27/05/2022,Pelicula,Aventura,,
6,Spider-Man: Across the Spider-Verse,"Después de reunirse con Gwen Stacy, el amigable vecino de tiempo completo de Brooklyn Spiderman, es lanzado a través del multiverso, donde se encuentra a un equipo de gente araña encomendada con proteger su mera existencia.",01/06/2023,Pelicula,Aventura,Popular,
7,Gran turismo,El joven Jann Mardenborough gana una serie de competiciones de videojuegos Gran Turismo organizadas por una importante empresa automovilística y obtiene la oportunidad de convertirse en piloto de carreras profesional.,24/08/2023,Pelicula,Accion,Top,
8,Breaking Bad,"El profesor calmado de química de una secundaria, Walter White cree que su vida no puede ser peor. Su salario apenas le alcanza para sostener a su familia, una situación que no mejora cuando su esposa da a luz y su hijo adolescente sufre de parálisis cerebral, pero Walter queda anonadado cuando se entera que tiene un cáncer terminal. Al concluir que su enfermedad iba a arruinar financieramente a su familia, él toma una decisión desesperada con el fin de ganar más dinero durante el tiempo que le queda y transforma un viejo vehículo de recreación en un laboratorio de matanfetaminas sobre ruedas.",29/09/2008,Serie,Accion,Popular,
9,Sin novedad en el frente,"Sin novedad en el frente es una película antibélica germana de 2022 basada en la novela homónima de Erich Maria Remarque de 1929. Dirigida por Edward Berger y está protagonizada por Felix Kammerer, Albrecht Schuch, Aaron Hilmer, Edin Hasanović, Daniel Brühl, Thibault de Montalembert y Devid Striesow.",29/09/2022,Pelicula,Accion,,
10,Gato con botas: el último deseo,"El Gato con Botas descubre que, debido a su pasión por la aventura, ha gastado ya 8 de sus 9 vidas. Por tanto, emprende un peligroso viaje en busca del legendario Último Deseo para solicitar que le restauren las vidas que ya perdió.",21/12/2022,Pelicula,Aventura,Popular,
11,Obi-Wan Kenobi,"Luego de la destrucción de la República y el ascenso del Imperio, el maestro Jedi Obi-Wan Kenobi debe lidiar con las consecuencias de su mayor derrota: la pérdida de su amigo y aprendiz, Anakin Skywalker, a manos del lado oscuro.",22/05/2022,Serie,Accion,,
12,Rick y Morty,"Después de haber estado desaparecido durante casi 20 años, Rick Sánchez llega de imprevisto a la puerta de la casa de su hija Beth y se va a vivir con ella y su familia utilizando el garaje como su laboratorio personal.",02/12/2013,Serie,Aventura,Popular,
13,Black Mirror,"El lado oscuro de la era tecnológica en la que se vive: la paranoia de ser vigilados como en un panóptico, los usos terroristas de las nuevas herramientas y su relación con la experiencia cotidiana.",04/12/2011,Serie,Terror,Top,
